year,state,people,,Sum of people,Column Labels,,,,,,,,,,,,,,
1995,AK,1880,,Row Labels,AK,AZ,CA,ID,ME,MI,MN,MT,ND,NM,NY,TX,VT,WA,Grand Total
1995,VT,14974,,,,,,,,,,,,,,,,,
1995,VT,29463,,,,,,,,,,,,,,,,,
1995,WA,893984,,,,,,,,,,,,,,,,,
1995,WA,10005,,,,,,,,,,,,,,,,,
1995,WA,16617,,,,,,,,,,,,,,,,,
1995,WA,2519,,,,,,,,,,,,,,,,,
1995,WA,8094,,,,,,,,,,,,,,,,,
1995,WA,10428,,,,,,,,,,,,,,,,,
1995,WA,152798,,,,,,,,,,,,,,,,,
1995,WA,6918,,,,,,,,,,,,,,,,,
1995,WA,2277,,,,,,,,,,,,,,,,,
1995,WA,78877,,,,,,,,,,,,,,,,,
